Index, Version Name, Date
1, 0.9.0, 2006-08-26T00:00, 
2, 0.9.6, 2006-11-29T00:00, 
3, 0.9.7, 2007-04-27T00:00, 
4, 1.0.0, 2007-08-28T00:00, 
5, 1.0.1, 2007-11-09T00:00, 
6, 1.0.2, 2008-02-18T00:00, 
7, 1.1.0, 2008-05-22T00:00, 
8, 1.0.3, 2008-07-23T00:00, 
9, 1.2.0, 2008-08-12T00:00, 
10, 2.0.0-M1, 2009-01-29T00:00, 
11, 1.2.1, 2009-03-18T00:00, 
12, 2.0.0-M2, 2009-06-03T00:00, 
13, 2.0.0-M3, 2009-10-12T00:00, 
14, 1.2.2, 2010-01-18T00:00, 
15, 2.0.0-beta, 2010-01-28T00:00, 
16, 2.0.0-beta2, 2010-02-27T00:00, 
17, 2.0.0-beta3, 2010-03-29T00:00, 
18, 2.0.0, 2010-04-22T00:00, 
19, 2.0.1, 2010-08-30T00:00, 
20, 1.0.4, 2010-09-03T00:00, 
21, 2.1.0, 2011-02-21T00:00, 
22, 2.1.1, 2011-07-25T00:00, 
23, 2.2.0, 2012-02-20T00:00, 
24, 2.2.1, 2012-11-01T00:00, 
25, 1.2.3, 2013-04-17T00:00, 
26, 2.2.2, 2013-04-22T00:00, 
27, 2.3.0, 2013-11-24T00:00, 
28, 2.4.0, 2015-04-22T00:00, 
29, 2.4.1, 2016-02-21T00:00, 
30, 2.4.2, 2017-01-03T00:00, 
31, 2.4.3, 2018-06-12T00:00, 
32, 3.1.0, 2019-04-14T00:00, 
33, 3.1.1, 2020-02-03T00:00, 
34, 3.1.2, 2020-07-13T00:00, 
35, 3.2.0, 2021-05-14T00:00, 
36, 3.2.1, 2022-02-03T00:00, 
37, 3.2.2, 2022-03-16T00:00, 
38, 4.0.0, 2024-02-02T00:00, 
39, 4.0.1, 2024-09-19T00:00, 
