Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method, Sampling Method
bookkee, 2, naive_bayes, NaN, 0.0, 0.3394716789433579, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 2, random_forest, NaN, 0.0, 0.45986791973583946, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 2, ibk, NaN, 0.0, 0.490587870064629, 0.0, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 3, naive_bayes, 0.46938775510204084, 0.32857142857142857, 0.7206579727326615, 0.24697336561743333, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 3, random_forest, 0.39285714285714285, 0.3142857142857143, 0.6915826911677534, 0.18643527084795497, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 3, ibk, 0.3287037037037037, 0.3380952380952381, 0.6190772574590002, 0.13616180584081525, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 5, naive_bayes, 0.3793103448275862, 0.38596491228070173, 0.7923976608187134, 0.2640884940336209, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 5, random_forest, 0.2761904761904762, 0.2543859649122807, 0.7261111111111112, 0.13193783698065353, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 5, ibk, 0.25165562913907286, 0.2222222222222222, 0.6691780376868096, 0.10147329650092078, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 6, naive_bayes, 0.6818181818181818, 0.30612244897959184, 0.8761209029066171, 0.3604923506254047, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 6, random_forest, 0.37755102040816324, 0.37755102040816324, 0.7553339517625232, 0.2620207173778605, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 6, ibk, 0.3216374269005848, 0.3741496598639456, 0.7044810348381777, 0.2134918333816565, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 7, naive_bayes, 0.3870967741935484, 0.1875, 0.7579475864553314, 0.16808735068563424, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 7, random_forest, 0.3403141361256545, 0.5078125, 0.7076616534582133, 0.2717206851613993, BIDIRECTIONAL_SEARCH, OVERSAMPLING
bookkee, 7, ibk, 0.31952662721893493, 0.5625, 0.6913574687800192, 0.26071514498814213, BIDIRECTIONAL_SEARCH, OVERSAMPLING
